Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Marked as,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Gene ID,# Razor Peptides,"Abundances (Normalized): F1: Sample, Flg22","Abundances (Normalized): F2: Sample, Flg22","Abundances (Normalized): F3: Sample, Flg22","Abundances (Normalized): F4: Sample, Flg22","Abundances (Normalized): F5: Sample, Mock","Abundances (Normalized): F6: Sample, Mock","Abundances (Normalized): F7: Sample, Mock","Abundances (Normalized): F8: Sample, Mock",Ratio log2(flg22/Mock),T-Test,,,,,,
High,IsMasterProtein,Q9FFN4,Beta-galactosidase 6 OS=Arabidopsis thaliana OX=3702 GN=BGAL6 PE=2 SV=1,0,Athaliana,253.571,51,33,299,31,718,79.7,8.84,526.76,33,ath:AT5G63800; Q0WMN2; Q9FFN4; Q9SCV6,1,207859218.2,313793756.4,184188927.3,174385001.2,560596516.6,617564804.4,143316858.4,414434347.7,-0.97974688,0.093271629,,,,,,
High,IsMasterProtein,Q8L466,At1g24050/T23E23_11 OS=Arabidopsis thaliana OX=3702 GN=At1g24050 PE=1 SV=1,0,Athaliana,13.6,19,3,13,3,188,20.5,5.27,19.06,3,ath:AT1G24050; Q8L466,0,3701446.566,4993358.616,1706799.125,5087670.66,2315224.827,4016092.241,1458424.027,1502208.695,0.737216351,0.119934747,,,,,,
High,IsMasterProtein,Q0WM29,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ALDH6B2 PE=1 SV=2",0,Athaliana,84.958,39,18,95,18,607,65.9,8.59,166.62,18,ath:AT2G14170; Q0WM29; Q9SI43,0,99745432.43,36534546.73,27508779.1,30073634.53,106188987.2,50764036.76,70488682.29,62617161.81,-0.581312765,0.063543547,,,,,,
High,IsMasterProtein,Q9SUR6,Cystine lyase CORI3 OS=Arabidopsis thaliana OX=3702 GN=CORI3 PE=1 SV=1,0,Athaliana,365.386,80,32,694,32,422,47,6.28,1602.63,32,ath:AT4G23600; Q0WN47; Q9SUR6,0,2260875002,4926456454,2831044208,3990428898,3408966320,4860485598,4671052478,5566178631,-0.401712493,0.075890642,,,,,,
High,IsMasterProtein,Q9SU08,Auxilin-related protein 1 OS=Arabidopsis thaliana OX=3702 GN=AUXI1 PE=1 SV=2,0,Athaliana,4.656,2,1,6,1,904,99.8,6.61,3.46,1,ath:AT4G12780; Q8RXD0; Q9SU08,0,1921799.412,958520.1435,672853.4693,1085851.587,2276903.731,1125922.684,1264612.016,2238747.5,-0.574067675,0.076916368,,,,,,
High,IsMasterProtein,Q9S9M7,Nuclear protein OS=Arabidopsis thaliana OX=3702 GN=At1g16080 PE=1 SV=1,0,Athaliana,157.753,65,19,204,19,313,34.1,6.79,417.56,19,ath:AT1G16080; Q9S9M7,0,320895257.2,150665193.8,285987556.2,111147317.8,419665965.1,355847339.7,293868950.5,209925392.6,-0.558441067,0.084314212,,,,,,
High,IsMasterProtein,Q9S714,"Photosystem I reaction center subunit IV B, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PSAE2 PE=2 SV=1",0,Athaliana,43.867,46,4,30,3,145,15.2,9.95,71.64,4,ath:AT2G20260; Q9S714,1,3872399.629,29619133.73,10731485.8,11968256.98,10842115.07,52108439.88,18062464.67,36137121.44,-1.059940621,0.047350104,,,,,,
High,IsMasterProtein,F4JN13,Ankyrin repeat-containing protein 2 OS=Arabidopsis thaliana OX=3702 GN=AKR2 PE=1 SV=1,0,Athaliana,80.896,39,11,76,8,350,38,4.64,147.17,11,F4JN13,3,24138547.23,54573885.92,35612253.57,45333805.74,23685059.5,29877450.75,22991713.31,37106337.11,0.490257557,0.107991909,,,,,,
High,IsMasterProtein,Q9XI93,Nodulin-related protein 2 OS=Arabidopsis thaliana OX=3702 GN=At1g13930 PE=1 SV=1,0,Athaliana,66.574,48,10,138,10,155,16.2,4.92,304.25,10,ath:AT1G13930; Q8LEH5; Q9XI93,0,227732230.2,992997136.6,503091914.3,286021943,563198383.2,1314786400,426535096.5,1436263106,-0.896257303,0.19150627,,,,,,
High,IsMasterProtein,Q38857,Xyloglucan endotransglucosylase/hydrolase protein 22 OS=Arabidopsis thaliana OX=3702 GN=XTH22 PE=1 SV=1,0,Athaliana,84.457,58,14,113,10,284,32.1,8.57,209.58,14,ath:AT5G57560; Q38857; Q8H783,4,333460097.3,74515647.68,128726959,125180187.1,68340735.12,28763955.5,121606259,113652408.9,0.993814639,0.272978088,,,,,,
High,IsMasterProtein,Q9FND9,Probable galactinol--sucrose galactosyltransferase 5 OS=Arabidopsis thaliana OX=3702 GN=RFS5 PE=1 SV=1,0,Athaliana,109.327,32,20,81,20,783,86.2,5.07,130.78,20,ath:AT5G40390; Q9FND9,0,30839902.73,19958445.76,22351813.32,6823149.409,36487515.51,39652684.73,26551633.76,22500085.66,-0.646550921,0.058311645,,,,,,
High,IsMasterProtein,A0A1P8BCQ5,4-hydroxy-4-methyl-2-oxoglutarate aldolase OS=Arabidopsis thaliana OX=3702 GN=At5g56260 PE=1 SV=1,0,Athaliana,55.695,60,10,80,10,198,21.4,6.09,153.65,10,A0A1P8BCQ5,0,115135499.7,94755102.49,134534558.9,105499818.8,90165081.44,46472998.63,121718092.1,77820814.63,0.420463501,0.030679747,,,,,,
High,IsMasterProtein,Q9FIW4,Beta-glucosidase 42 OS=Arabidopsis thaliana OX=3702 GN=BGLU42 PE=1 SV=1,0,Athaliana,77.544,51,17,68,16,490,56,5.63,122.46,17,ath:AT5G36890; Q2V330; Q9FIW4,0,17354184.17,37769982.28,35939397.94,16781621.04,26367057.99,22158248.26,8571190.642,8409869.75,0.719254735,0.258733425,,,,,,
High,IsMasterProtein,F4JCX1,beta-galactosidase OS=Arabidopsis thaliana OX=3702 GN=At3g54440 PE=1 SV=1,0,Athaliana,121.845,27,27,106,27,1120,126.7,5.77,171.03,27,F4JCX1,0,42301142.78,16551970.19,26860330.41,8502838.337,38801795.23,51119836,26255749.06,31476459.07,-0.648170569,0.243441845,,,,,,
High,IsMasterProtein,O24496,Hydroxyacylglutathione hydrolase cytoplasmic OS=Arabidopsis thaliana OX=3702 GN=GLX2-2 PE=1 SV=2,0,Athaliana,96.039,56,11,115,11,258,28.8,6.38,263.99,11,ath:AT3G10850; O04844; O24496,0,97255908.07,40792626.93,78495867.89,43707691.17,92320897.39,84900688.32,95375967.63,76698684.38,-0.424541332,0.127741778,,,,,,
High,IsMasterProtein,Q9SRI1,Protein transport protein SEC13 homolog A OS=Arabidopsis thaliana OX=3702 GN=SEC13A PE=1 SV=1,0,Athaliana,38.003,37,9,21,8,302,32.6,6.05,37.91,9,ath:AT3G01340; Q8LAS2; Q9SRI1,1,75159.07206,3565292.703,4835817.344,1861863.945,4631042.796,9757584.392,6440048.936,5083748.563,-1.325668341,0.028153834,,,,,,
High,IsMasterProtein,O49485,"D-3-phosphoglycerate dehydrogenase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PGDH1 PE=1 SV=1",0,Athaliana,66.733,32,16,47,12,603,63.3,6.58,67.03,16,ath:AT4G34200; O49485; Q8LGJ6,2,9518249.72,18648599,18818055.13,7078357.034,45039574.19,40607013.55,12173112.37,13607800.86,-1.043384905,0.215617107,,,,,,
High,IsMasterProtein,P0C7P7,UDP-glycosyltransferase 74E1 OS=Arabidopsis thaliana OX=3702 GN=UGT74E1 PE=3 SV=1,0,Athaliana,5.675,3,1,2,1,453,51.1,6.4,4.97,1,ath:AT1G05675; P0C7P7; Q9SYK8,0,442850.5358,,291551.187,,,186217.1328,183361.6515,,0.990687502,#DIV/0!,,,,,,
High,IsMasterProtein,F4JFN7,RNA-binding (RRM/RBD/RNP motifs) family protein OS=Arabidopsis thaliana OX=3702 GN=At3g07810 PE=1 SV=1,0,Athaliana,7.303,3,1,5,1,495,52,8.5,9.91,1,F4JFN7,0,1861734.531,1630527.347,1102644.696,760328.9682,2111023.617,1425816.788,1560436.317,2188745.5,-0.444181364,0.255413825,,,,,,
High,IsMasterProtein,P42814,Ribonuclease 2 OS=Arabidopsis thaliana OX=3702 GN=RNS2 PE=2 SV=1,0,Athaliana,54.189,51,9,62,9,259,29.1,6.4,109.47,9,ath:AT2G39780; P42814; Q42136,0,30411565.95,41268464.19,29041816.31,14794004.02,43081002.96,36076428.23,43860555.62,33607038.47,-0.439223918,0.148433583,,,,,,
High,IsMasterProtein,Q9LU48,Acid phosphatase OS=Arabidopsis thaliana OX=3702 GN=MWD22.21 PE=1 SV=1,0,Athaliana,16.078,15,3,13,3,257,29.8,5.41,23.33,3,Q9LU48,0,,1314607.466,939532.2363,,1079325.893,1231586.202,5244694.707,2810260.438,-1.201191986,0.51227513,,,,,,
High,IsMasterProtein,Q9FG36,"Thioredoxin-like 3-1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=WCRKC1 PE=2 SV=3",0,Athaliana,17.292,22,6,23,6,210,24.5,9.44,24.07,6,A0JQ77; ath:AT5G06690; B9DGA5; Q9FG36; Q9SWQ2; Q9XFI2,0,9088909.418,18295146.08,11735089.82,9042026.736,14736194.69,27507337.08,11355882.69,16412175.75,-0.539723273,0.078479004,,,,,,
High,IsMasterProtein,A0A1P8BAA4,Cytidine/deoxycytidylate deaminase family protein OS=Arabidopsis thaliana OX=3702 GN=GSDA PE=1 SV=1,0,Athaliana,43.985,27,4,34,4,290,31.7,8.1,75.55,4,A0A1P8BAA4,0,6035397.479,11140388.75,15799823.85,10552098.02,6484493.625,31013445.35,28126386.9,24670110.81,-1.052703043,0.064229591,,,,,,
High,IsMasterProtein,Q93Z72,AT5g16970/F2K13_120 OS=Arabidopsis thaliana OX=3702 GN=At5g17000 PE=1 SV=1,0,Athaliana,155.849,69,21,143,13,345,38.1,6.93,245.08,21,Q93Z72,3,43154321.21,31130207.82,29832643.99,17450307.56,71406813.86,56181288.6,25927435.39,36900549.23,-0.64739801,0.098730988,,,,,,
High,IsMasterProtein,Q42560,Aconitate hydratase 1 OS=Arabidopsis thaliana OX=3702 GN=ACO1 PE=1 SV=2,0,Athaliana,360.645,59,40,396,29,898,98.1,6.4,814.89,40,ath:AT4G35830; Q42560; Q9SZT1,14,265584842,297503027.7,392558736.5,152196817.1,260801283.1,467052433.2,370403426.3,426114606.6,-0.460460783,0.240027461,,,,,,
High,IsMasterProtein,Q9SK86,Alcohol dehydrogenase-like 1 OS=Arabidopsis thaliana OX=3702 GN=At1g22430 PE=2 SV=1,0,Athaliana,43.804,30,9,23,9,388,42.5,6.54,50.56,9,ath:AT1G22430; Q9SK86,0,2167029.027,2315764.513,4162271.574,1590687.919,2521885.305,5473267.154,3535389.669,3100561.188,-0.515421322,0.269559381,,,,,,
High,IsMasterProtein,Q9STT2,Vacuolar protein sorting-associated protein 29 OS=Arabidopsis thaliana OX=3702 GN=VPS29 PE=1 SV=1,0,Athaliana,33.879,45,6,14,6,190,21,6.52,19.25,6,ath:AT3G47810; Q3EAN1; Q9STT2,0,2313285.033,1750352.693,2748176.096,857339.609,3859436.885,3637475.784,1906251.259,2231964.781,-0.601347932,0.208273003,,,,,,
High,IsMasterProtein,CASB_BOVIN,Beta-casein OS=Bos taurus,0,Contaminant,7.195,12,2,4,2,224,25.1,5.35,3.92,2,A0A1U9XAM2; A0A6P3I767; A1YQZ8; A6N8V0; bbis:104997418; biu:109560545; L8I8G5; P02666; Q2TA13; Q5EEQ6; Q5EEQ7; Q6UN63; Q9BDG5; Q9TSD5,0,,322583.319,293232.291,,,1796144.834,469327.3245,455971.1563,n/a,High,Peak Found,n/a,n/a,High,Peak Found,Peak Found
High,IsMasterProtein,Q9SE96,GEM-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=FIP1 PE=1 SV=1,0,Athaliana,45.772,47,10,35,10,259,27.9,6.64,58.72,10,ath:AT1G28200; Q9SE96,0,7031576.239,8171604.886,7620527.599,3127560.716,5756674.049,11224498.74,9095571.877,11933310.16,-0.550575995,0.251454569,,,,,,
High,IsMasterProtein,Q9SGZ5,Probable beta-D-xylosidase 7 OS=Arabidopsis thaliana OX=3702 GN=BXL7 PE=2 SV=2,0,Athaliana,292.493,61,38,270,38,767,83.8,8.03,503.7,38,ath:AT1G78060; Q8VZG5; Q9SGZ5,0,119909693.7,75690003.51,75268920.17,57571516.84,294083688.7,249310765.4,56523938.93,118751348.7,-1.129698515,0.129522133,,,,,,
High,IsMasterProtein,Q94K13,Ribulose-phosphate 3-epimerase OS=Arabidopsis thaliana OX=3702 GN=At3g01850 PE=1 SV=1,0,Athaliana,34.56,33,4,19,4,225,24,5.35,49.85,4,Q94K13,0,4952492.796,15141089.56,12395254.02,5990858.301,3934203.393,6199642.393,4942940.778,7254733.938,0.785015868,0.200034582,,,,,,
High,IsMasterProtein,Q9LJE2,"Lysine--tRNA ligase, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=OVA5 PE=2 SV=1",0,Athaliana,22.966,10,5,14,5,602,67.5,6.02,33.34,5,ath:AT3G13490; Q9LJE2,0,3447232.689,5619963.427,4907874.601,1517447.84,6973747.879,5405512.161,6195603.832,4349672.5,-0.565320861,0.112315955,,,,,,
High,IsMasterProtein,Q8L745,AT5g42220/K5J14_2 OS=Arabidopsis thaliana OX=3702 GN=At5g42220 PE=1 SV=1,0,Athaliana,42.652,8,6,24,6,879,92.5,5.22,43.94,6,ath:AT5G42220; Q8L745,0,735477.7291,5681958.857,4539442.383,4551264.785,1999951.552,9435053.744,15920866.8,15159873.75,-1.454971234,0.074200886,,,,,,
High,IsMasterProtein,Q9ZPH2,Monothiol glutaredoxin-S17 OS=Arabidopsis thaliana OX=3702 GN=GRXS17 PE=1 SV=1,0,Athaliana,37.038,25,8,22,8,488,53.1,5.08,36.81,8,ath:AT4G04950; Q9ZPH2,0,2961692.034,6062950.37,3747315.619,2567233.553,5481145.473,4937167.324,5147065.413,4315228.664,-0.374139347,0.245838482,,,,,,
High,IsMasterProtein,O23569,L-lactate dehydrogenase OS=Arabidopsis thaliana OX=3702 GN=dl4665w PE=1 SV=1,0,Athaliana,13.842,11,3,6,3,353,37.9,6.55,14.43,3,ath:AT4G17260; O23569,0,916845.699,2230784.516,2517350.518,,1174304.964,1269527.852,297039.3703,1189773.75,0.942342134,0.306144509,,,,,,
High,IsMasterProtein,F4KGV5,G-box regulating factor 6 OS=Arabidopsis thaliana OX=3702 GN=GRF6 PE=1 SV=1,0,Athaliana,148.53,55,17,168,6,258,29.1,5,342.27,17,F4KGV5,0,33013152.56,55283406.59,78184006.39,38240458.6,63377151.21,80649101.97,87956165.4,48698550,-0.455271976,0.035905249,,,,,,
High,IsMasterProtein,Q9FZP1,Heparanase-like protein 3 OS=Arabidopsis thaliana OX=3702 GN=At5g34940 PE=2 SV=2,0,Athaliana,160.701,40,19,199,19,536,59.7,7.96,466.37,19,ath:AT5G34940; O82604; O82605; Q0WP10; Q9FZP1,0,259103633.8,346626633.8,396242436.8,560103894.7,352130924.6,405706572.9,1564028139,976730404,-1.07838691,0.19037217,,,,,,
High,IsMasterProtein,Q9SE60,Methylenetetrahydrofolate reductase (NADH) 1 OS=Arabidopsis thaliana OX=3702 GN=MTHFR1 PE=1 SV=1,0,Athaliana,357.069,76,41,447,31,592,66.2,5.82,1008.53,41,ath:AT3G59970; Q3EAG9; Q9SE60,10,728780538.5,354519376.3,378387137.3,194666296.9,1134306857,543278280.5,564317415.9,410483054,-0.679280057,0.017873426,,,,,,
High,IsMasterProtein,F4JSC9,GDSL-like Lipase/Acylhydrolase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g18970 PE=1 SV=1,0,Athaliana,102.213,41,12,95,12,410,45.2,7.49,238.83,12,F4JSC9,0,49832624.14,19320342.97,54542667.69,35814481.22,82314544.38,37358231.84,168958928.1,42558034.09,-1.054010051,0.176903696,,,,,,
High,IsMasterProtein,F4JZY1,COP1-interactive protein 1 OS=Arabidopsis thaliana OX=3702 GN=CIP1 PE=1 SV=1,0,Athaliana,91.786,17,24,51,24,1586,181.9,4.91,84.93,24,ath:AT5G41790; F4JZY1; Q38843; Q9FJ35,0,5829882.209,18804917.84,15104440.52,12907132.46,8619691.305,7295455.264,9337396.718,6787559.719,0.716455357,0.179658959,,,,,,
High,IsMasterProtein,A0A178UA07,Plant invertase/pectin methylesterase inhibitor superfamily OS=Arabidopsis thaliana OX=3702 GN=At5g09760 PE=1 SV=1,0,Athaliana,175.63,35,16,170,14,577,63.5,7.09,395.6,16,A0A178UA07; A0A1P8BD08,3,189614312.8,109360005.4,129854499.3,124829789.1,195952150.9,129103275.4,220626125.4,158178284.8,-0.346291501,0.136487252,,,,,,
High,IsMasterProtein,Q9ZVL6,"UPF0603 protein At1g54780, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g54780 PE=1 SV=1",0,Athaliana,39.117,32,9,49,9,285,31.1,8.84,83.81,9,ath:AT1G54780; Q9ZVL6,0,32382706.07,28625840.52,12296747.42,7432602.934,20624070.52,23931568.76,81299689.71,31315998.5,-0.96102014,0.37380044,,,,,,
High,IsMasterProtein,Q949P2,Probable cytosolic oligopeptidase A OS=Arabidopsis thaliana OX=3702 GN=CYOP PE=1 SV=1,0,Athaliana,181.676,59,30,167,17,701,79,5.63,310.25,30,ath:AT5G10540; Q949P2; Q9LXA6,0,9173372.778,15560053.81,26349118.32,9192813.302,19658553.85,18820693.47,27957582.27,17809352.97,-0.483042995,0.066108812,,,,,,
High,IsMasterProtein,Q9SA23,Syntaxin-51 OS=Arabidopsis thaliana OX=3702 GN=SYP51 PE=1 SV=1,0,Athaliana,21.052,25,5,10,4,232,25.9,7.97,14.17,5,ath:AT1G16240; Q9SA23,1,1565623.828,4011501.718,3459691.598,1149642.022,3895091.366,4338582.445,,2973335.5,-0.552786178,0.130955274,,,,,,
High,IsMasterProtein,Q9FH05,Serine carboxypeptidase-like 42 OS=Arabidopsis thaliana OX=3702 GN=SCPL42 PE=2 SV=1,0,Athaliana,103.181,39,17,96,17,473,52.8,7.08,163.94,17,ath:AT5G42240; Q9FH05,0,47121117.79,17568330.89,18911388.67,27103291.21,100748830.1,47265055.48,19397628.24,49526904.06,-0.970576538,0.093755262,,,,,,
High,IsMasterProtein,Q8L611,Protein transport protein SEC31 homolog B OS=Arabidopsis thaliana OX=3702 GN=SEC31B PE=1 SV=1,0,Athaliana,53.064,13,11,31,11,1104,119.8,5.14,52.98,11,ath:AT3G63460; Q8L611; Q9LY69,0,6423849.865,34206688.45,40132240.41,63107028.65,9825344.814,14951141.75,13774421.07,10495628.33,1.552540708,0.132153864,,,,,,
High,IsMasterProtein,O82291,"Probable plastid-lipid-associated protein 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PAP3 PE=1 SV=1",0,Athaliana,8.081,5,2,8,2,376,40.5,4.55,9.2,2,ath:AT2G35490; O82291; Q94B19,0,,1807304.503,791486.3853,,3847795.029,4183329.179,4747407.861,3625664.906,-1.658152515,0.155665855,,,,,,
High,IsMasterProtein,Q94K85,Cathepsin B-like protease 3 OS=Arabidopsis thaliana OX=3702 GN=CATHB3 PE=1 SV=1,0,Athaliana,109.69,39,11,111,11,359,39.4,6.18,244.48,11,ath:AT4G01610; Q94K85; Q9ZSI0,0,71610655.88,117312046.9,86928096.54,122407677.6,135689877.8,118028161.2,113011062.4,113980439.4,-0.271460368,0.293473286,,,,,,
High,IsMasterProtein,Q8LPL7,N6-mAMP deaminase OS=Arabidopsis thaliana OX=3702 GN=MAPDA PE=1 SV=1,0,Athaliana,13.803,14,4,4,4,355,39.9,6.1,6.42,4,ath:AT4G04880; Q8LPL7; Q9M0Z1,0,2400028.767,,1101096.165,,751208.5797,1270350.831,541763.4944,382958.7188,1.248923205,0.291793515,,,,,,
High,IsMasterProtein,F4J1U2,"Glutamate NMDA receptor subunit epsilon-1, putative (DUF3598) OS=Arabidopsis thaliana OX=3702 GN=BFA1 PE=1 SV=1",0,Athaliana,72.193,44,13,55,13,396,44.6,5.38,100.5,13,A0A178VCD5; F4J1U2,0,28082093.61,6898014.666,12737330.38,6042548.742,30875840.53,17621365.57,15557464.08,18048109.34,-0.610898264,0.064984277,,,,,,
High,IsMasterProtein,Q39258,V-type proton ATPase subunit E1 OS=Arabidopsis thaliana OX=3702 GN=VHA-E1 PE=1 SV=2,0,Athaliana,67.908,64,14,81,14,230,26,6.4,126.52,14,ath:AT4G11150; O82502; Q39258,0,37199876.39,52622012.18,36659370.1,21073152.24,38393772.84,46562346.97,48578686.93,62537818.55,-0.410141079,0.329819279,,,,,,
High,IsMasterProtein,Q9SMV6,Protein EXPORTIN 1A OS=Arabidopsis thaliana OX=3702 GN=XPO1 PE=1 SV=1,0,Athaliana,22.707,7,7,8,7,1075,123.2,5.57,10.43,7,ath:AT5G17020; F4KFL2; Q9SMV6,0,,1524975.108,2222460.03,712041.1013,,1028289.104,267377.5889,765071.875,1.113712786,0.313681207,,,,,,
High,IsMasterProtein,Q9M1G8,DJ-1 protein homolog F OS=Arabidopsis thaliana OX=3702 GN=DJ1F PE=1 SV=1,0,Athaliana,31.542,17,8,39,7,399,43.1,5.86,70.36,8,ath:AT3G54600; Q9M1G8,0,16221332.45,12814510.97,15330289.28,11679477.59,26572096.53,17227646.44,21737869.77,11828891.06,-0.4651077,0.086817832,,,,,,
High,IsMasterProtein,Q494P3,At3g17770 OS=Arabidopsis thaliana OX=3702 GN=At3g17770 PE=1 SV=1,0,Athaliana,53.039,27,13,30,13,595,61.9,5.14,64.25,13,ath:AT3G17770; Q494P3,0,14833317.57,3751724.668,7338098.027,3628964.417,25064326.99,13117634.75,9297343.275,6237350.078,-0.86210859,0.069537525,,,,,,
High,IsMasterProtein,P54150,"Peptide methionine sulfoxide reductase A4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=MSR4 PE=1 SV=2",0,Athaliana,78.746,37,8,73,7,258,28.6,8.75,183.81,8,ath:AT4G25130; P54150; Q8LAX4; Q94A72; Q9SW13,0,54595411.81,98489860.3,93299048.17,43197025.33,57907894.42,141357596.7,122147778,109303795.5,-0.572771814,0.074684472,,,,,,
High,IsMasterProtein,Q9C5U8,"Histidinol dehydrogenase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=HISN8 PE=2 SV=1",0,Athaliana,125.247,39,14,125,14,466,50.3,6.16,247.56,14,ath:AT5G63890; F4KC60; Q8LA77; Q9C5U8; Q9FN00,0,74369439.19,32792996.32,39648185.44,23809404.44,102438600.9,70146955.39,43572474.6,44764252.16,-0.612833174,0.049516284,,,,,,
High,IsMasterProtein,P46010,Nitrilase 3 OS=Arabidopsis thaliana OX=3702 GN=NIT3 PE=1 SV=1,0,Athaliana,80.237,32,9,99,3,346,38,5.95,233.18,9,ath:AT3G44320; O04909; P46010,0,1563125.872,377090.3448,601529.4006,276207.3876,371108.2774,370823.1328,,118302.8438,1.296808568,0.348831,,,,,,
High,IsMasterProtein,A8MQS6,Cox19 family protein (CHCH motif) OS=Arabidopsis thaliana OX=3702 GN=At1g02160 PE=1 SV=1,0,Athaliana,9.098,26,2,5,2,91,10.2,6.95,6.87,2,A8MQS6; ath:AT1G02160,0,,1253074.509,484996.8033,320472.8932,,1598109.148,936059.602,1179813.25,-0.851342393,0.072102092,,,,,,
High,IsMasterProtein,Q9LJ86,Non-specific lipid transfer protein GPI-anchored 5 OS=Arabidopsis thaliana OX=3702 GN=LTPG5 PE=2 SV=1,0,Athaliana,4.408,6,1,13,1,170,17.3,5.19,28.46,1,A0A178VB68; ath:AT3G22600; Q8H784; Q8LDP1; Q9LJ86,0,50326965.67,86775099.01,96066758.33,160527806.5,61905447.42,51889064.11,45174184.28,89942848,0.661451222,0.130717795,,,,,,
High,IsMasterProtein,Q9XIK3,"Iron-sulfur assembly protein IscA, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ISCA PE=2 SV=2",0,Athaliana,9.17,16,2,5,2,180,19.3,8.25,9.78,2,ath:AT1G10500; Q6NM99; Q9XIK3,0,762386.7275,872771.642,993584.0548,318585.4059,2055327.191,1317216.725,1016650.732,606366.0625,-0.761239078,0.158901291,,,,,,
High,IsMasterProtein,F4KFD7,"26S proteasome regulatory subunit, putative (RPN5) OS=Arabidopsis thaliana OX=3702 GN=EMB2107 PE=1 SV=1",0,Athaliana,34.467,22,10,27,10,442,50.8,7.66,21.78,10,F4KFD7,0,1355042.404,6071604.089,6712249.513,721217.1254,4390867.352,6675169.597,7120861.012,6970402.375,-0.759532014,0.155344567,,,,,,
High,IsMasterProtein,Q9ZW34,Cytosolic enolase 3 OS=Arabidopsis thaliana OX=3702 GN=ENO3 PE=1 SV=1,0,Athaliana,30.72,22,7,12,7,475,51.6,5.52,22.58,7,ath:AT2G29560; Q9ZW34,0,1854931.466,843513.5699,1811734.336,,6228917.619,3401174.061,1630709.478,1432412.875,-1.077763203,0.231286314,,,,,,
High,IsMasterProtein,Q8RV68,Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g31725 PE=1 SV=1,0,Athaliana,35.802,48,5,14,5,149,17.5,6.38,23.65,5,ath:AT2G31725; Q8RV68,0,637448.1291,4025969.351,306661.3764,480732.7581,,2344237.437,2082256.783,1541532.188,-0.545820358,0.749922772,,,,,,
High,IsMasterProtein,O49607,Subtilisin-like protease SBT1.6 OS=Arabidopsis thaliana OX=3702 GN=SBT1.6 PE=2 SV=1,0,Athaliana,10.534,4,3,7,3,764,81,9.35,8.24,3,ath:AT4G34980; O49607,0,93392.57792,2100112.686,,1608462.682,3438849.365,3037232.547,3409461.647,8773830.75,-1.880044837,0.169999184,,,,,,
High,IsMasterProtein,Q9LKR3,Heat shock 70 kDa protein BIP1 OS=Arabidopsis thaliana OX=3702 GN=BIP1 PE=1 SV=1,0,Athaliana,185.283,52,30,203,3,669,73.6,5.17,426.04,30,ath:AT5G28540; Q41928; Q56Y82; Q9LKR3,23,52586626.2,43466482.56,43552228.32,16612030.25,87436480.44,55458509.07,43827595.66,46154258.27,-0.576012337,0.095438842,,,,,,
High,IsMasterProtein,A0A1P8AWH8,"Endo-1,4-beta-xylanase 1 OS=Arabidopsis thaliana OX=3702 GN=XYN1 PE=1 SV=1",0,Athaliana,63.23,14,9,67,9,945,105.7,6.51,127.53,9,A0A1P8AWH8; ath:AT1G58370; Q9C643; Q9SM08,0,23246473.43,32941289.81,45701004.61,61207929.56,28562663.88,60034182.77,110461603.7,95718809.5,-0.853897666,0.075125795,,,,,,
High,IsMasterProtein,A0A1I9LS54,Eukaryotic aspartyl protease family protein OS=Arabidopsis thaliana OX=3702 GN=At3g51340 PE=1 SV=1,0,Athaliana,15.579,8,4,7,4,518,56,5.07,5.55,4,A0A1I9LS54; ath:AT3G51340,0,4389472.653,4694037.164,2643623.441,2659951.452,3635939.221,,1652511.253,1359104.375,0.698841105,0.023507175,,,,,,
High,IsMasterProtein,Q9LF37,"Chaperone protein ClpB3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CLPB3 PE=1 SV=1",0,Athaliana,93.646,28,24,48,23,968,108.9,6.23,79.07,24,ath:AT5G15450; Q8GRN9; Q9LF37,0,14321944.24,5818939.103,2516442.448,1136352.58,20306134.98,10255728.55,7157883.537,6023966.797,-0.878497389,0.000716131,,,,,,
High,IsMasterProtein,O23144,Proton pump-interactor 1 OS=Arabidopsis thaliana OX=3702 GN=PPI1 PE=1 SV=2,0,Athaliana,7.765,4,2,4,2,612,68.8,9.03,6.06,2,ath:AT4G27500; B9DFB6; O23144; Q9SZS5,0,252279.9821,4659511.601,3773270.761,1854666.288,202575.3405,730427.2892,,931591.25,2.083866881,0.298851178,,,,,,
